Fecha;Hora;PrEsp
7/9/21;6;107,74
7/9/21;7;124,76
7/9/21;8;142,8
7/9/21;9;149,58
7/9/21;10;142,5
7/9/21;11;134,51
7/9/21;12;120,07
7/9/21;13;111,71
7/9/21;14;108,84
7/9/21;15;108,28
7/9/21;16;107,98
7/9/21;17;113,07
7/9/21;18;134,28
7/9/21;19;140,97
7/9/21;20;149,12
7/9/21;21;153,45
7/9/21;22;153,4
7/9/21;23;150,03
7/9/21;24;142,19
8/9/21;1;140,28
8/9/21;2;135
8/9/21;3;130
8/9/21;4;124
8/9/21;5;124,6
8/9/21;6;130
8/9/21;7;137,49
8/9/21;8;143,4
8/9/21;9;146,05
8/9/21;10;144,74
8/9/21;11;139,12
8/9/21;12;135,99
8/9/21;13;133,84
8/9/21;14;129,48
8/9/21;15;116,3
8/9/21;16;109,08
8/9/21;17;117,52
8/9/21;18;136,03
8/9/21;19;141,09
8/9/21;20;150
8/9/21;21;152,36
8/9/21;22;152,36
8/9/21;23;149,37
8/9/21;24;137,6
9/9/21;1;143,58
9/9/21;2;135,7
9/9/21;3;128,9
9/9/21;4;121,98
9/9/21;5;120,92
9/9/21;6;123,69
9/9/21;7;139,37
9/9/21;8;148,05
9/9/21;9;149,43
9/9/21;10;145,73
9/9/21;11;144,01
9/9/21;12;143,4
9/9/21;13;143,58
9/9/21;14;144,8
9/9/21;15;141,1
9/9/21;16;138,5
9/9/21;17;137
9/9/21;18;143,19
9/9/21;19;147,51
9/9/21;20;154,38
9/9/21;21;155,62
9/9/21;22;154,46
9/9/21;23;151
9/9/21;24;145,2
10/9/21;1;155,62
10/9/21;2;152
10/9/21;3;149,41
10/9/21;4;148,08
10/9/21;5;146,29
10/9/21;6;148,68
10/9/21;7;150,38
10/9/21;8;158,07
10/9/21;9;159,31
10/9/21;10;156,66
10/9/21;11;153,11
10/9/21;12;150
10/9/21;13;150
10/9/21;14;150
10/9/21;15;149,76
10/9/21;16;147,51
10/9/21;17;146,29
10/9/21;18;148,4
10/9/21;19;149,76
10/9/21;20;156,66
10/9/21;21;159,31
10/9/21;22;159,3
10/9/21;23;157,07
10/9/21;24;154
11/9/21;1;156,51
11/9/21;2;156,05
11/9/21;3;155,03
11/9/21;4;155,03
11/9/21;5;155,57
11/9/21;6;155,47
11/9/21;7;155,27
11/9/21;8;156,34
11/9/21;9;156,26
11/9/21;10;156
11/9/21;11;154,85
11/9/21;12;150
11/9/21;13;147,2
11/9/21;14;142,56
11/9/21;15;140,01
11/9/21;16;121,79
11/9/21;17;120,48
11/9/21;18;133,73
11/9/21;19;148,3
11/9/21;20;156,2
11/9/21;21;161,29
11/9/21;22;165
11/9/21;23;161,25
11/9/21;24;158,51
12/9/21;1;162,69
12/9/21;2;160,03
12/9/21;3;159,83
12/9/21;4;159,31
12/9/21;5;158,76
12/9/21;6;156,51
12/9/21;7;156,51
12/9/21;8;156,34
12/9/21;9;152,33
12/9/21;10;150,76
12/9/21;11;127
12/9/21;12;117,02
12/9/21;13;116,27
12/9/21;14;116,3
12/9/21;15;116,3
12/9/21;16;110,02
12/9/21;17;110,01
12/9/21;18;115,72
12/9/21;19;140,28
12/9/21;20;157,86
12/9/21;21;164,8
12/9/21;22;167,53
12/9/21;23;165,09
12/9/21;24;163
13/9/21;1;157,77
13/9/21;2;154,98
13/9/21;3;148,22
13/9/21;4;138,28
13/9/21;5;125
13/9/21;6;125
13/9/21;7;152,08
13/9/21;8;157,7
13/9/21;9;159,19
13/9/21;10;157
13/9/21;11;154,77
13/9/21;12;156,34
13/9/21;13;156,52
13/9/21;14;155,83
13/9/21;15;154,71
13/9/21;16;151,03
13/9/21;17;152,72
13/9/21;18;159,09
13/9/21;19;166,5
13/9/21;20;169,24
13/9/21;21;170
13/9/21;22;165
13/9/21;23;158,28
13/9/21;24;154,51
14/9/21;1;122,23
14/9/21;2;121,59
14/9/21;3;119,97
14/9/21;4;119,95
14/9/21;5;119,95
14/9/21;6;122,03
14/9/21;7;148,52
14/9/21;8;162,38
14/9/21;9;168,01
14/9/21;10;162,9
14/9/21;11;162,38
14/9/21;12;163,74
14/9/21;13;165
14/9/21;14;163,74
14/9/21;15;162,38
14/9/21;16;161,09
14/9/21;17;162,01
14/9/21;18;164,72
14/9/21;19;170,07
14/9/21;20;171,24
14/9/21;21;171,58
14/9/21;22;171,14
14/9/21;23;165,03
14/9/21;24;160,67
15/9/21;1;172
15/9/21;2;168,47
15/9/21;3;162,01
15/9/21;4;160
15/9/21;5;160
15/9/21;6;162,01
15/9/21;7;166,94
15/9/21;8;177,29
15/9/21;9;180
15/9/21;10;180
15/9/21;11;180
15/9/21;12;178,34
15/9/21;13;180
15/9/21;14;175,74
15/9/21;15;175,76
15/9/21;16;175,1
15/9/21;17;175,44
15/9/21;18;175,44
15/9/21;19;175,76
15/9/21;20;180
15/9/21;21;180,3
15/9/21;22;176,78
15/9/21;23;170
15/9/21;24;159,42
16/9/21;1;192,83
16/9/21;2;187,08
16/9/21;3;180,3
16/9/21;4;180
16/9/21;5;180
16/9/21;6;180
16/9/21;7;185,03
16/9/21;8;194
16/9/21;9;197,81
16/9/21;10;193,91
16/9/21;11;186,68
16/9/21;12;186,77
16/9/21;13;186,17
16/9/21;14;186
16/9/21;15;186,69
16/9/21;16;181,45
16/9/21;17;180
16/9/21;18;180
16/9/21;19;188,11
16/9/21;20;197,59
16/9/21;21;198,02
16/9/21;22;198,85
16/9/21;23;195,48
16/9/21;24;193,47
17/9/21;1;175,28
17/9/21;2;172,8
17/9/21;3;161,26
17/9/21;4;159,34
17/9/21;5;157,43
17/9/21;6;160,65
17/9/21;7;172,9
17/9/21;8;181,97
17/9/21;9;188,17
17/9/21;10;182,86
17/9/21;11;175,33
17/9/21;12;167,13
17/9/21;13;160,3
17/9/21;14;140,66
17/9/21;15;140,66
17/9/21;16;140,66
17/9/21;17;140,66
17/9/21;18;165,53
17/9/21;19;175
17/9/21;20;181,3
17/9/21;21;185,2
17/9/21;22;179,04
17/9/21;23;172,91
17/9/21;24;153,92
18/9/21;1;181,36
18/9/21;2;178,45
18/9/21;3;171,45
18/9/21;4;159,82
18/9/21;5;155,58
18/9/21;6;157,73
18/9/21;7;172,15
18/9/21;8;165
18/9/21;9;165
18/9/21;10;165
18/9/21;11;145,28
18/9/21;12;139,32
18/9/21;13;139,32
18/9/21;14;140,37
18/9/21;15;135,5
18/9/21;16;126
18/9/21;17;125,94
18/9/21;18;136,81
18/9/21;19;160
18/9/21;20;179,91
18/9/21;21;180,3
18/9/21;22;187,18
18/9/21;23;181,37
18/9/21;24;176
19/9/21;1;167,13
19/9/21;2;161,8
19/9/21;3;161,8
19/9/21;4;161,71
19/9/21;5;161,36
19/9/21;6;161,36
19/9/21;7;161
19/9/21;8;162,21
19/9/21;9;151
19/9/21;10;133,75
19/9/21;11;125,49
19/9/21;12;113,8
19/9/21;13;100
19/9/21;14;114,1
19/9/21;15;119,95
19/9/21;16;100
19/9/21;17;99,99
19/9/21;18;119,42
19/9/21;19;142,28
19/9/21;20;167,54
19/9/21;21;182,41
19/9/21;22;187,92
19/9/21;23;183,31
19/9/21;24;178,45
20/9/21;1;155,6
20/9/21;2;142,28
20/9/21;3;140,01
20/9/21;4;139,52
20/9/21;5;139,04
20/9/21;6;138,64
20/9/21;7;161,33
20/9/21;8;181,38
20/9/21;9;188,64
20/9/21;10;180,3
20/9/21;11;172,67
20/9/21;12;162,2
20/9/21;13;155
20/9/21;14;149,76
20/9/21;15;142,28
20/9/21;16;145,28
20/9/21;17;142,28
20/9/21;18;143,78
20/9/21;19;146,78
20/9/21;20;181,37
20/9/21;21;185,8
20/9/21;22;180
20/9/21;23;154,53
20/9/21;24;133,48
21/9/21;1;130,12
21/9/21;2;128,01
21/9/21;3;121,34
21/9/21;4;121,04
21/9/21;5;120,64
21/9/21;6;128,91
21/9/21;7;149,19
21/9/21;8;184,35
21/9/21;9;190
21/9/21;10;176,92
21/9/21;11;160,1
21/9/21;12;151,8
21/9/21;13;145,06
21/9/21;14;132,5
21/9/21;15;129,71
21/9/21;16;128,53
21/9/21;17;132,5
21/9/21;18;150
21/9/21;19;164,5
21/9/21;20;187,92
21/9/21;21;190
21/9/21;22;186,13
21/9/21;23;164,34
21/9/21;24;132,55
22/9/21;1;160
22/9/21;2;150
22/9/21;3;147,3
22/9/21;4;150
22/9/21;5;160
22/9/21;6;172,71
22/9/21;7;181
22/9/21;8;195
22/9/21;9;196,57
22/9/21;10;185,26
22/9/21;11;180,3
22/9/21;12;167,78
22/9/21;13;179,66
22/9/21;14;180
22/9/21;15;177
22/9/21;16;160
22/9/21;17;162,01
22/9/21;18;179,45
22/9/21;19;183,79
22/9/21;20;195
22/9/21;21;196
22/9/21;22;195,85
22/9/21;23;185,25
22/9/21;24;181
23/9/21;1;162,5
23/9/21;2;140
23/9/21;3;133,97
23/9/21;4;132,3
23/9/21;5;132,3
23/9/21;6;133,97
23/9/21;7;165
23/9/21;8;176,95
23/9/21;9;184,75
23/9/21;10;180,8
23/9/21;11;176,21
23/9/21;12;175
23/9/21;13;175,86
23/9/21;14;175,86
23/9/21;15;170,57
23/9/21;16;135,49
23/9/21;17;134,04
23/9/21;18;170,61
23/9/21;19;175,96
23/9/21;20;187,28
23/9/21;21;192,52
23/9/21;22;191,15
23/9/21;23;185
23/9/21;24;176,47
24/9/21;1;167,01
24/9/21;2;158,33
24/9/21;3;149,85
24/9/21;4;148,35
24/9/21;5;153,58
24/9/21;6;155,01
24/9/21;7;167,73
24/9/21;8;178,5
24/9/21;9;182
24/9/21;10;181,79
24/9/21;11;178,31
24/9/21;12;178,21
24/9/21;13;177,91
24/9/21;14;178,31
24/9/21;15;178,05
24/9/21;16;174,95
24/9/21;17;177,44
24/9/21;18;178,05
24/9/21;19;174,95
24/9/21;20;182
24/9/21;21;190
24/9/21;22;188,21
24/9/21;23;179,7
24/9/21;24;172,95
25/9/21;1;185,23
25/9/21;2;185
25/9/21;3;180
25/9/21;4;174,84
25/9/21;5;168,22
25/9/21;6;167,88
25/9/21;7;168,22
25/9/21;8;179,1
25/9/21;9;178
25/9/21;10;180,3
25/9/21;11;175
25/9/21;12;163,63
25/9/21;13;153,01
25/9/21;14;130,03
25/9/21;15;125,99
25/9/21;16;114,96
25/9/21;17;125,99
25/9/21;18;151,71
25/9/21;19;173,07
25/9/21;20;185,85
25/9/21;21;188,17
25/9/21;22;188
25/9/21;23;182,44
25/9/21;24;167,98
26/9/21;1;180
26/9/21;2;168,66
26/9/21;3;164,02
26/9/21;4;155,44
26/9/21;5;155,44
26/9/21;6;155,44
26/9/21;7;165,77
26/9/21;8;174,36
26/9/21;9;173,44
26/9/21;10;165,77
26/9/21;11;153,53
26/9/21;12;130
26/9/21;13;129,47
26/9/21;14;138,6
26/9/21;15;135,14
26/9/21;16;126
26/9/21;17;115
26/9/21;18;137,36
26/9/21;19;170,8
26/9/21;20;185,85
26/9/21;21;194
26/9/21;22;199
26/9/21;23;190,32
26/9/21;24;186,57
27/9/21;1;170,76
27/9/21;2;154,58
27/9/21;3;140,92
27/9/21;4;138,6
27/9/21;5;139,59
27/9/21;6;140,92
27/9/21;7;174,36
27/9/21;8;184,73
27/9/21;9;190,84
27/9/21;10;187,8
27/9/21;11;184,34
27/9/21;12;182,59
27/9/21;13;180
27/9/21;14;180,01
27/9/21;15;178,54
27/9/21;16;176,95
27/9/21;17;174,36
27/9/21;18;180
27/9/21;19;181
27/9/21;20;187,94
27/9/21;21;195,26
27/9/21;22;195,26
27/9/21;23;190
27/9/21;24;183,05
